project_name,target_class,test_class,test_method,buggy_status,fixed_status,bug_revealing,buggy_rc,fixed_rc,notes
Csv_1,ExtendedBufferedReader,org.apache.commons.csv.ExtendedBufferedReader_1_1Test,testExtendedBufferedReader_normalInput,fail,fail,false,255,255,discovery_failed;discovery_failed
Csv_1,ExtendedBufferedReader,org.apache.commons.csv.ExtendedBufferedReader_1_1Test,testExtendedBufferedReader_emptyInput,fail,fail,false,255,255,discovery_failed;discovery_failed
Csv_1,ExtendedBufferedReader,org.apache.commons.csv.ExtendedBufferedReader_1_1Test,testExtendedBufferedReader_nullReader_throwsNullPointerException,fail,fail,false,255,255,discovery_failed;discovery_failed
Csv_1,ExtendedBufferedReader,org.apache.commons.csv.ExtendedBufferedReader_1_1Test,testExtendedBufferedReader_readCharArray_zeroLength,fail,fail,false,255,255,discovery_failed;discovery_failed
Csv_1,ExtendedBufferedReader,org.apache.commons.csv.ExtendedBufferedReader_1_1Test,testExtendedBufferedReader_readCharArray_negativeLength_throwsIndexOutOfBoundsException,fail,fail,false,255,255,discovery_failed;discovery_failed
Csv_1,ExtendedBufferedReader,org.apache.commons.csv.ExtendedBufferedReader_1_1Test,testLookAhead_privateMethod,fail,fail,false,255,255,discovery_failed;discovery_failed
Csv_1,ExtendedBufferedReader,org.apache.commons.csv.ExtendedBufferedReader_1_1Test,testReadAgain_privateMethod,fail,fail,false,255,255,discovery_failed;discovery_failed
Csv_1,ExtendedBufferedReader,org.apache.commons.csv.ExtendedBufferedReader_1_1Test,testGetLineNumber_initialValue,fail,fail,false,255,255,discovery_failed;discovery_failed
Csv_1,ExtendedBufferedReader,org.apache.commons.csv.ExtendedBufferedReader_1_2Test,testExtendedBufferedReader_normalInput,fail,fail,false,255,255,discovery_failed;discovery_failed
Csv_1,ExtendedBufferedReader,org.apache.commons.csv.ExtendedBufferedReader_1_2Test,testExtendedBufferedReader_nullInput,fail,fail,false,255,255,discovery_failed;discovery_failed
Csv_1,ExtendedBufferedReader,org.apache.commons.csv.ExtendedBufferedReader_1_2Test,testExtendedBufferedReader_emptyInput,fail,fail,false,255,255,discovery_failed;discovery_failed
Csv_1,ExtendedBufferedReader,org.apache.commons.csv.ExtendedBufferedReader_1_2Test,testExtendedBufferedReader_readCharArrayWithZeroLength,fail,fail,false,255,255,discovery_failed;discovery_failed
Csv_1,ExtendedBufferedReader,org.apache.commons.csv.ExtendedBufferedReader_1_2Test,testExtendedBufferedReader_readCharArrayWithNegativeLength,fail,fail,false,255,255,discovery_failed;discovery_failed
Csv_1,ExtendedBufferedReader,org.apache.commons.csv.ExtendedBufferedReader_1_2Test,testLookAhead_privateMethod_behavior,fail,fail,false,255,255,discovery_failed;discovery_failed
Csv_1,ExtendedBufferedReader,org.apache.commons.csv.ExtendedBufferedReader_1_2Test,testReadAgain_privateMethod_behavior,fail,fail,false,255,255,discovery_failed;discovery_failed
Csv_1,ExtendedBufferedReader,org.apache.commons.csv.ExtendedBufferedReader_1_2Test,testGetLineNumber_initiallyZero,fail,fail,false,255,255,discovery_failed;discovery_failed
