project_name,target_class,test_class,test_method,buggy_status,fixed_status,bug_revealing,buggy_rc,fixed_rc,notes
Csv_1,ExtendedBufferedReader,org.apache.commons.csv.ExtendedBufferedReader_2_1Test,testRead_normalPath_incrementsLineCounterOnNewline,fail,fail,false,255,255,discovery_failed;discovery_failed
Csv_1,ExtendedBufferedReader,org.apache.commons.csv.ExtendedBufferedReader_2_1Test,testRead_emptyStream_returnsEndOfStreamImmediately,fail,fail,false,255,255,discovery_failed;discovery_failed
Csv_1,ExtendedBufferedReader,org.apache.commons.csv.ExtendedBufferedReader_2_1Test,testRead_onlyNewlineCharacters_incrementsLineCounterCorrectly,fail,fail,false,255,255,discovery_failed;discovery_failed
Csv_1,ExtendedBufferedReader,org.apache.commons.csv.ExtendedBufferedReader_2_1Test,testRead_afterEndOfStream_returnsEndOfStream,fail,fail,false,255,255,discovery_failed;discovery_failed
Csv_1,ExtendedBufferedReader,org.apache.commons.csv.ExtendedBufferedReader_2_1Test,testRead_throwsIOException_whenUnderlyingReaderThrows,fail,fail,false,255,255,discovery_failed;discovery_failed
Csv_1,ExtendedBufferedReader,org.apache.commons.csv.ExtendedBufferedReader_2_2Test,testRead_normalPath_readsCharactersAndCountsLines,fail,fail,false,255,255,discovery_failed;discovery_failed
Csv_1,ExtendedBufferedReader,org.apache.commons.csv.ExtendedBufferedReader_2_2Test,testRead_emptyInput_returnsEndOfStream,fail,fail,false,255,255,discovery_failed;discovery_failed
Csv_1,ExtendedBufferedReader,org.apache.commons.csv.ExtendedBufferedReader_2_2Test,testRead_onlyNewLineInInput_incrementsLineCounter,fail,fail,false,255,255,discovery_failed;discovery_failed
Csv_1,ExtendedBufferedReader,org.apache.commons.csv.ExtendedBufferedReader_2_2Test,testRead_multipleSequentialNewLines_incrementsLineCounterCorrectly,fail,fail,false,255,255,discovery_failed;discovery_failed
Csv_1,ExtendedBufferedReader,org.apache.commons.csv.ExtendedBufferedReader_2_2Test,testRead_throwsIOExceptionOnClosedReader,fail,fail,false,255,255,discovery_failed;discovery_failed
